column_name,data_type,is_nullable,column_default
id,uuid,NO,gen_random_uuid()
created_at,timestamp with time zone,YES,now()
tot_sminutes,text,YES,null
tot_sfieldgoalsmade,integer,YES,null
tot_sfieldgoalsattempted,integer,YES,null
tot_sfieldgoalspercentage,numeric,YES,null
tot_sthreepointersmade,integer,YES,null
tot_sthreepointersattempted,integer,YES,null
tot_sthreepointerspercentage,numeric,YES,null
tot_stwopointersmade,integer,YES,null
tot_stwopointersattempted,integer,YES,null
tot_stwopointerspercentage,numeric,YES,null
tot_sfreethrowsmade,integer,YES,null
tot_sfreethrowsattempted,integer,YES,null
tot_sfreethrowspercentage,numeric,YES,null
tot_sreboundsdefensive,integer,YES,null
tot_sreboundsoffensive,integer,YES,null
tot_sreboundstotal,integer,YES,null
tot_sassists,integer,YES,null
tot_sturnovers,integer,YES,null
tot_ssteals,integer,YES,null
tot_sblocks,integer,YES,null
tot_sblocksreceived,integer,YES,null
tot_sfoulspersonal,integer,YES,null
tot_sfoulson,integer,YES,null
tot_spoints,integer,YES,null
tot_spointsfromturnovers,integer,YES,null
tot_spointssecondchance,integer,YES,null
tot_spointsfastbreak,integer,YES,null
tot_sbenchpoints,integer,YES,null
tot_spointsinthepaint,integer,YES,null
tot_splusminuspoints,integer,YES,null
coach,text,YES,null
code,text,YES,null
numeric_id,text,YES,null
side,text,YES,null
name,text,YES,null
shortname,text,YES,null
tot_timeleading,text,YES,null
tot_biggestscoringrun,text,YES,null
tot_leadchanges,integer,YES,null
tot_timesscoreslevel,integer,YES,null
full_score,text,YES,null
score,integer,YES,null
p1_score,integer,YES,null
p2_score,integer,YES,null
p3_score,integer,YES,null
p4_score,integer,YES,null
identifier_duplicate,text,YES,null
league_id,uuid,YES,null
game_key,text,YES,null
team_id,uuid,YES,null
